"Marca temporal","¿En qué semestre o año de tu carrera te encuentras actualmente?","¿De qué carrera eres?","¿Conoces los requisitos principales para iniciar el Servicio Social?","¿Cuál es la duración mínima y máxima requerida de horas para el Servicio Social?","¿A partir de qué porcentaje de créditos cursados puedes iniciar tu Servicio Social?","¿Necesitas tener creditos complementarios para realizar el servicio social?","¿Cómo te has enterado principalmente sobre la información del Servicio Social?","Indica tu nivel de acuerdo con las siguientes afirmaciones sobre el proceso del Servicio Social (1=Totalmente en desacuerdo, 5=Totalmente de acuerdo): [La información disponible es clara y fácil de entender.]","Indica tu nivel de acuerdo con las siguientes afirmaciones sobre el proceso del Servicio Social (1=Totalmente en desacuerdo, 5=Totalmente de acuerdo): [Sé dónde debo entregar la documentación inicial.]","Indica tu nivel de acuerdo con las siguientes afirmaciones sobre el proceso del Servicio Social (1=Totalmente en desacuerdo, 5=Totalmente de acuerdo): [Conozco los plazos límite para la entrega de reportes bimestrales.]","Indica tu nivel de acuerdo con las siguientes afirmaciones sobre el proceso del Servicio Social (1=Totalmente en desacuerdo, 5=Totalmente de acuerdo): [Siento que la escuela ofrece suficientes opciones de programas para realizar el Servicio Social.]","¿Qué tipo de información adicional crees que la institución debería proporcionar sobre el Servicio Social?","En una escala del 1 al 10, ¿qué tan fácil consideras que es el proceso general para realizar el Servicio Social?"
"2026/05/25 2:32:05 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Industrial","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Pláticas informativas o sesiones de inducción","1","1","1","1","Si","1"
"2026/05/25 2:32:08 p.m. GMT-6","Tercer año (Semestres 5-6)","Electrica","Sí, los conozco bien","480 horas, sin máximo definido","50% de los créditos","Sí","Pláticas informativas o sesiones de inducción","2","2","3","2","","8"
"2026/05/25 2:32:28 p.m. GMT-6","","Gestión","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Personal del departamento de Servicio Social/Prácticas Profesionales","1","1","1","1","Si","1"
"2026/05/25 2:32:57 p.m. GMT-6","Quinto año o superior (Semestres 9+)","TICS","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Anuncios en redes sociales o correo electrónico institucional","1","1","1","1","Si","1"
"2026/05/25 2:33:26 p.m. GMT-6","Quinto año o superior (Semestres 9+)","TICS","Tengo una idea general, pero no los detalles","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Sitio web o portal oficial del Tecnológico","1","1","1","1","Si","1"
"2026/05/25 2:34:13 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Administración","Tengo una idea general, pero no los detalles","500 horas","80% de los créditos","Sí","Pláticas informativas o sesiones de inducción;Personal del departamento de Servicio Social/Prácticas Profesionales;Mamparas en el Instituto","2","3","2","1","","3"
"2026/05/25 2:34:36 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Industrial","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Personal del departamento de Servicio Social/Prácticas Profesionales","1","1","1","1","Si","4"
"2026/05/25 2:35:00 p.m. GMT-6","Quinto año o superior (Semestres 9+)","TICS","No, desconozco los requisitos","500 horas","80% de los créditos","Sí","Tutores o profesores","1","2","2","1","","5"
"2026/05/25 2:35:09 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Mecanica","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Anuncios en redes sociales o correo electrónico institucional","2","2","2","2","Si",""
"2026/05/25 2:35:18 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Industrial","Tengo una idea general, pero no los detalles","500 horas","70% de los créditos","Sí","Sitio web o portal oficial del Tecnológico","3","","1","2","Los convenios","6"
"2026/05/25 2:35:34 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Electrica","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Sitio web o portal oficial del Tecnológico","1","1","1","1","Si","5"
"2026/05/25 2:35:36 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Mecanica","Tengo una idea general, pero no los detalles","500 horas","80% de los créditos","Sí","Anuncios en redes sociales o correo electrónico institucional;Pláticas informativas o sesiones de inducción;Compañeros o amigos que ya lo realizaron","2","2","1","1","","6"
"2026/05/25 2:36:04 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Mecanica","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","100% de los créditos","Sí","Mamparas en el Instituto","2","2","2","2","Si","2"
"2026/05/25 2:36:06 p.m. GMT-6","Cuarto año (Semestres 7-8)","TICS","Sí, los conozco bien","400 horas mínimo, 480 horas máximo","70% de los créditos","Sí","Sitio web o portal oficial del Tecnológico","5","4","4","4","Convenios","7"
"2026/05/25 2:37:01 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Mecanica","Tengo una idea general, pero no los detalles","500 horas","80% de los créditos","Sí","Sitio web o portal oficial del Tecnológico;Anuncios en redes sociales o correo electrónico institucional;Compañeros o amigos que ya lo realizaron","2","2","1","1","Todo lo necesario ","4"
"2026/05/25 2:38:07 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Electrica","Tengo una idea general, pero no los detalles","500 horas","80% de los créditos","Sí","Personal del departamento de Servicio Social/Prácticas Profesionales","2","1","3","3","Todo","3"
"2026/05/25 2:43:45 p.m. GMT-6","Quinto año o superior (Semestres 9+)","TICS","Tengo una idea general, pero no los detalles","500 horas","70% de los créditos","Sí","Sitio web o portal oficial del Tecnológico","2","2","2","2","Los convenios ","5"
"2026/05/25 2:59:37 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Administración","Tengo una idea general, pero no los detalles","500 horas","80% de los créditos","Sí","Tutores o profesores","1","","","","Comvenios","4"
"2026/05/25 3:01:47 p.m. GMT-6","Quinto año o superior (Semestres 9+)","TICS","Tengo una idea general, pero no los detalles","500 horas","70% de los créditos","No","Anuncios en redes sociales o correo electrónico institucional","","3","","","Convenios","6"
"2026/05/25 3:02:39 p.m. GMT-6","Quinto año o superior (Semestres 9+)","Mecanica","Sí, los conozco bien","500 horas mínimo, 700 horas máximo","70% de los créditos","No","Pláticas informativas o sesiones de inducción","","3","","","Convenios","2"
"2026/05/25 3:03:10 p.m. GMT-6","Quinto año o superior (Semestres 9+)","TICS","Tengo una idea general, pero no los detalles","500 horas","80% de los créditos","No","Pláticas informativas o sesiones de inducción","2","","","","Convenios ","2"